driver_id,lat,lon,battery,timestamp,archived_at
DRV_001,48.855074,2.349167,35,1771685013,2026-02-21T14:47:35.465188
DRV_002,48.856341,2.344714,40,1771685014,2026-02-21T14:47:35.473488
DRV_001,48.854861,2.351943,47,1771685019,2026-02-21T14:47:35.482942
DRV_002,48.860752,2.344546,96,1771685019,2026-02-21T14:47:35.491494
DRV_001,48.853951,2.355811,22,1771685024,2026-02-21T14:47:35.499610
DRV_002,48.85927,2.341256,86,1771685024,2026-02-21T14:47:35.507805
DRV_001,48.851865,2.354995,34,1771685029,2026-02-21T14:47:35.517016
DRV_002,48.86328,2.345014,53,1771685029,2026-02-21T14:47:35.527510
DRV_001,48.851525,2.353462,25,1771685034,2026-02-21T14:47:35.536086
DRV_002,48.858417,2.343496,82,1771685034,2026-02-21T14:47:35.573348
DRV_001,48.851885,2.353237,24,1771685039,2026-02-21T14:47:35.586287
DRV_002,48.859175,2.345173,64,1771685039,2026-02-21T14:47:35.595023
DRV_001,48.852095,2.354805,61,1771685044,2026-02-21T14:47:35.604010
DRV_002,48.858692,2.341013,59,1771685044,2026-02-21T14:47:35.613108
DRV_001,48.852906,2.354135,69,1771685049,2026-02-21T14:47:35.620741
DRV_002,48.861577,2.342493,52,1771685049,2026-02-21T14:47:35.630671
DRV_001,48.857464,2.351251,35,1771685054,2026-02-21T14:47:35.638616
DRV_002,48.860937,2.341872,40,1771685054,2026-02-21T14:47:35.650056
DRV_001,48.857711,2.348675,25,1771685059,2026-02-21T14:47:35.657450
DRV_002,48.856843,2.341577,76,1771685059,2026-02-21T14:47:35.668320
DRV_001,48.853168,2.347561,70,1771685064,2026-02-21T14:47:35.677595
DRV_002,48.859709,2.337523,25,1771685064,2026-02-21T14:47:35.685796
DRV_001,48.84926,2.342961,63,1771685069,2026-02-21T14:47:35.695020
DRV_002,48.855498,2.338464,31,1771685069,2026-02-21T14:47:35.705370
DRV_001,48.852099,2.347757,27,1771685074,2026-02-21T14:47:35.728682
DRV_002,48.858507,2.3392,28,1771685074,2026-02-21T14:47:35.740543
DRV_001,48.850007,2.352714,83,1771685079,2026-02-21T14:47:35.749503
